------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[ 19] local 10.0.0.2 port 39442 connected with 10.0.0.3 port 5001
[ ID] Interval       Transfer     Bandwidth
[ 19]  0.0- 1.0 sec  12.5 MBytes   105 Mbits/sec
[ 19]  1.0- 2.0 sec  11.8 MBytes  98.6 Mbits/sec
[ 19]  2.0- 3.0 sec  12.5 MBytes   105 Mbits/sec
[ 19]  3.0- 4.0 sec  12.1 MBytes   102 Mbits/sec
[ 19]  4.0- 5.0 sec  11.5 MBytes  96.5 Mbits/sec
[ 19]  5.0- 6.0 sec  11.9 MBytes  99.6 Mbits/sec
[ 19]  6.0- 7.0 sec  11.5 MBytes  96.5 Mbits/sec
[ 19]  7.0- 8.0 sec  13.2 MBytes   111 Mbits/sec
[ 19]  8.0- 9.0 sec  11.9 MBytes  99.6 Mbits/sec
[ 19]  9.0-10.0 sec  13.4 MBytes   112 Mbits/sec
[ 19]  0.0-10.3 sec   122 MBytes   100 Mbits/sec
