interval;transfer;BW
0.0-1.0;12.1;102
1.0-2.0;11.9;99.6
2.0-3.0;11.8;98.6
3.0-4.0;11.5;96.5
4.0-5.0;12.2;103
5.0-6.0;11.1;93.3
6.0-7.0;11.6;97.5
7.0-8.0;11.6;97.5
8.0-9.0;13.0;109
9.0-10.0;10.8;90.2
10.0-11.0;11.6;97.5
11.0-12.0;12.9;108
12.0-13.0;11.8;98.6
13.0-14.0;9.75;81.8
14.0-15.0;12.8;107
15.0-16.0;10.2;86.0
16.0-17.0;12.8;107
17.0-18.0;10.2;86.0
18.0-19.0;13.0;109
19.0-20.0;10.6;89.1
20.0-21.0;11.1;93.3
21.0-22.0;11.5;96.5
22.0-23.0;12.2;103
23.0-24.0;13.0;109
24.0-25.0;10.5;88.1
25.0-26.0;10.9;91.2
26.0-27.0;11.5;96.5
27.0-28.0;11.9;99.6
28.0-29.0;12.6;106
29.0-30.0;13.1;110
30.0-31.0;9.12;76.5
31.0-32.0;14.0;117
32.0-33.0;9.75;81.8
33.0-34.0;15.1;127
34.0-35.0;10.4;87.0
35.0-36.0;10.6;89.1
36.0-37.0;10.5;88.1
37.0-38.0;10.6;89.1
38.0-39.0;10.5;88.1
39.0-40.0;13.1;110
40.0-41.0;13.2;111
41.0-42.0;10.6;89.1
42.0-43.0;10.5;88.1
43.0-44.0;10.6;89.1
44.0-45.0;10.5;88.1
45.0-46.0;10.6;89.1
46.0-47.0;10.5;88.1
47.0-48.0;15.9;133
48.0-49.0;10.6;89.1
49.0-50.0;10.5;88.1
50.0-51.0;10.6;89.1
51.0-52.0;10.5;88.1
52.0-53.0;10.6;89.1
53.0-54.0;10.5;88.1
54.0-55.0;11.6;97.5
55.0-56.0;15.9;133
56.0-57.0;10.6;89.1
57.0-58.0;10.5;88.1
58.0-59.0;10.6;89.1
59.0-60.0;10.5;88.1
60.0-61.0;10.6;89.1
61.0-62.0;10.5;88.1
62.0-63.0;15.9;133
63.0-64.0;10.5;88.1
64.0-65.0;10.6;89.1
65.0-66.0;10.5;88.1
66.0-67.0;10.6;89.1
67.0-68.0;12.4;104
68.0-69.0;10.6;89.1
69.0-70.0;10.5;88.1
70.0-71.0;10.6;89.1
71.0-72.0;10.5;88.1
72.0-73.0;15.9;133
73.0-74.0;10.6;89.1
74.0-75.0;10.5;88.1
75.0-76.0;10.6;89.1
76.0-77.0;10.5;88.1
77.0-78.0;10.6;89.1
78.0-79.0;10.5;88.1
79.0-80.0;15.9;133
80.0-81.0;10.6;89.1
81.0-82.0;10.5;88.1
82.0-83.0;10.6;89.1
83.0-84.0;10.5;88.1
84.0-85.0;10.6;89.1
85.0-86.0;10.5;88.1
86.0-87.0;15.9;133
87.0-88.0;10.5;88.1
88.0-89.0;10.6;89.1
89.0-90.0;10.5;88.1
90.0-91.0;10.6;89.1
91.0-92.0;10.5;88.1
92.0-93.0;10.6;89.1
93.0-94.0;15.9;133
94.0-95.0;10.5;88.1
95.0-96.0;10.6;89.1
96.0-97.0;10.5;88.1
97.0-98.0;10.6;89.1
98.0-99.0;10.5;88.1
99.0-100.0;10.6;89.1
100.0-101.0;15.9;133
101.0-102.0;5.25;44.0
102.0-103.0;13.4;112
103.0-104.0;10.6;89.1
104.0-105.0;15.8;132
105.0-106.0;10.6;89.1
106.0-107.0;10.5;88.1
107.0-108.0;10.6;89.1
108.0-109.0;10.5;88.1
109.0-110.0;10.6;89.1
110.0-111.0;10.6;89.1
111.0-112.0;15.8;132
112.0-113.0;10.6;89.1
113.0-114.0;10.5;88.1
114.0-115.0;10.6;89.1
115.0-116.0;10.5;88.1
116.0-117.0;10.6;89.1
117.0-118.0;10.5;88.1
118.0-119.0;15.9;133
119.0-120.0;10.6;89.1
120.0-121.0;10.5;88.1
121.0-122.0;10.6;89.1
122.0-123.0;10.5;88.1
123.0-124.0;10.6;89.1
124.0-125.0;10.5;88.1
125.0-126.0;15.9;133
126.0-127.0;10.5;88.1
127.0-128.0;10.6;89.1
128.0-129.0;10.5;88.1
129.0-130.0;10.6;89.1
130.0-131.0;10.6;89.1
131.0-132.0;10.5;88.1
132.0-133.0;15.9;133
133.0-134.0;10.5;88.1
134.0-135.0;10.6;89.1
135.0-136.0;10.5;88.1
136.0-137.0;11.1;93.3
137.0-138.0;10.6;89.1
138.0-139.0;10.5;88.1
139.0-140.0;10.6;89.1
140.0-141.0;15.9;133
141.0-142.0;10.5;88.1
142.0-143.0;10.6;89.1
143.0-144.0;10.5;88.1
144.0-145.0;10.6;89.1
145.0-146.0;10.5;88.1
146.0-147.0;10.6;89.1
147.0-148.0;15.8;132
148.0-149.0;10.6;89.1
149.0-150.0;10.5;88.1
150.0-151.0;10.6;89.1
151.0-152.0;10.6;89.1
152.0-153.0;10.5;88.1
153.0-154.0;10.6;89.1
154.0-155.0;15.8;132
155.0-156.0;10.6;89.1
156.0-157.0;10.5;88.1
157.0-158.0;10.6;89.1
158.0-159.0;10.5;88.1
159.0-160.0;10.6;89.1
160.0-161.0;10.5;88.1
161.0-162.0;15.9;133
162.0-163.0;10.6;89.1
163.0-164.0;10.5;88.1
164.0-165.0;10.6;89.1
165.0-166.0;10.5;88.1
166.0-167.0;10.6;89.1
167.0-168.0;10.5;88.1
168.0-169.0;15.9;133
169.0-170.0;10.6;89.1
170.0-171.0;10.5;88.1
171.0-172.0;10.6;89.1
172.0-173.0;10.5;88.1
173.0-174.0;10.6;89.1
174.0-175.0;10.5;88.1
175.0-176.0;15.9;133
176.0-177.0;6.88;57.7
177.0-178.0;15.8;132
178.0-179.0;10.6;89.1
179.0-180.0;10.5;88.1
180.0-181.0;10.6;89.1
181.0-182.0;10.5;88.1
182.0-183.0;10.6;89.1
183.0-184.0;10.5;88.1
184.0-185.0;15.9;133
185.0-186.0;10.6;89.1
186.0-187.0;10.5;88.1
187.0-188.0;10.6;89.1
188.0-189.0;10.5;88.1
189.0-190.0;10.6;89.1
190.0-191.0;10.5;88.1
191.0-192.0;15.9;133
192.0-193.0;10.5;88.1
193.0-194.0;10.6;89.1
194.0-195.0;10.6;89.1
195.0-196.0;10.5;88.1
196.0-197.0;10.6;89.1
197.0-198.0;10.5;88.1
198.0-199.0;15.9;133
199.0-200.0;10.5;88.1
